track_album_name,valence,energy,danceability,tempo,loudness,cluster
"Grandson, Vol. 1",0.39732609149780646,0.7314085616527594,0.7282904032170415,0.562755572119217,0.8692368437038088,2
Street Gossip,0.08188844787967411,0.48787229479313443,0.9836974241930223,0.4079733325051503,0.8503857290380061,0
Yellow Tape 2,0.5707123459369123,0.7334129753717686,0.8500163025758068,0.521651811132851,0.8683054245044244,3
The Melodic Blue,0.11949028619176935,0.6121459453717085,0.7087273122486685,0.44442891601188445,0.8628991434993015,2
SAVAGE MODE II,0.18007102569458952,0.7344151822312732,0.8565373328985979,0.4233930660372475,0.8429343754429304,2
Just Cause Y'all Waited 2,0.4067265510758303,0.480856846776602,0.855450494511466,0.4906829404639896,0.7988134529329581,0
Destined 2 Win,0.6699394192604972,0.5760664984295418,0.8924029996739484,0.37164197645889635,0.8499807641687085,3
KHALED KHALED,0.20618341341132232,0.7284019410742455,0.4544071296598196,0.5270867625288571,0.8912466843501328,2
"Honestly, Nevermind",0.04992688531439314,0.4958899496691715,0.8630583632213888,0.45961572305558146,0.677081013222103,0
FUTURE,0.2625861708794652,0.4347553312393891,0.8413215954787522,0.5270867625288571,0.7952295138396746,0
On Me,0.47357426363066635,0.5650422229749908,0.8663188783827844,0.15393852811163905,0.8458501225018731,3
Mr. Morale & The Big Steppers,0.39523710048046784,0.6712761500824816,0.7945875448320834,0.47477664937834513,0.8614007734829005,2
SAVAGE MODE II,0.6166701483183621,0.7344151822312732,0.8326268883816975,0.2574717641334618,0.8594164456233423,3
The Forever Story (Extended Version),0.5184875705034467,0.5680488435535048,0.5598304532116073,0.1435500067289875,0.8290238321825583,0
FUTURE,0.2625861708794652,0.4347553312393891,0.8413215954787522,0.5270867625288571,0.7952295138396746,0
333,0.4526843534572801,0.6662651157849585,0.5696119986957938,0.23860471857304055,0.8946483892522324,2
Harder Than Ever,0.556089408815542,0.3465611276029817,0.9826105858058904,0.37125894178908253,0.7848219166987265,0
AMERI,0.1466471694171715,0.5780709121485511,0.8021954135420063,0.5169674006439124,0.8595784315710613,2
M4,0.7242531857113014,0.5910996013221113,0.8924029996739484,0.37132623166350925,0.8779638366371718,3
Trap Capos: Season 1,0.10068936703572173,0.6321900825618011,0.8130637974133246,0.4227356957255401,0.8744406422742829,2
Finally Rich,0.18947148527261332,0.4137089871897919,0.7750244538637104,0.4334089050384588,0.807398708162067,0
Containers,0.7712554836014204,0.8236115927271852,0.4935333115965656,0.6093046367899624,0.8819932370866829,3
Culture,0.14455817839983287,0.6672673226444632,0.9423975654820127,0.40812344068656375,0.8657136493409198,2
Slime Language 2,0.16649258408188844,0.5760664984295418,0.7109009890229322,0.5058024576332598,0.8375280944378076,2
Me Acostumbre (feat. Bad Bunny),0.5623563818675579,0.5870907738840928,0.8141506358004564,0.39239831464745284,0.8266750359406323,3
WE DON'T TRUST YOU,0.2949655316482139,0.6772893912395095,0.8206716661232474,0.588941685559593,0.8787535181323022,2
333,0.20931689993733027,0.929845519834676,0.6054776654711443,0.3195440852200379,0.9259319254054712,2
My Turn (Deluxe),0.5581783998328805,0.5429936720658891,0.9423975654820127,0.44984833897533044,0.8707757102071396,3
